id,name,category,conversion_factor,purchase_unit,usage_unit,canonical_unit,purchase_price,current_price,yield_percentage
618,Ghirardelli - 2 Tier 64 Oz. Flavoring Sauce Rack,Racks & Accesories,,ea,,,36.9700,36.9700,
619,Ghirardelli - 3 Tier 64 Oz. Flavoring Sauce Rack,Racks & Accesories,,ea,,,41.0000,41.0000,
275,Ghirardelli - Caramel Flavoring Sauce - 64Oz,Other,,piece,,,19.6000,19.6000,
616,Ghirardelli - Sauce Pump 0.50 Oz. For 64 Oz. Bottles,Racks & Accesories,,ea,,,10.0000,10.0000,
617,Ghirardelli - Sweet Ground Chocolate & Cocoa Powder 3 Lb,Other,,piece,,,20.2100,20.2100,
620,Ghirardelli - Sweet Ground Chocolate & Cocoa Powder 3 Lb,Other,,piece,,,20.2100,20.2100,
277,Ghirardelli - Vanilla Flavored Frappe Beverage Base 3 Lb.,Other,,piece,,,20.2100,20.2100,
278,Ghirardelli - White Chocolate Flavoring Sauce 64 Oz,Other,,bottle,,,19.6000,19.6000,
621,"Gusto Etna - Pistachios Roasted Chopped, 2.2 Lb (1 Kg)",Ingredients,,Case,,,47.8000,47.8000,
622,House Recipe - Honey Pure Clover Grade A True Source Certifie,Ingredients,,Case,,,55.1400,55.1400,
623,Imperial Fresh - Tomato Roma Jumbo Fresh,Produce,,Case,,,26.0400,26.0400,
281,Just Bagels Bagel Cheese Asiago,Bakery,,Case,,,56.7500,56.7500,
456,Just Baked Muffin Blueberry,Bakery,,bag,,,35.8200,35.8200,
339,Le Chef Bakery - Bagel - Sesame,Bakery,,case,,,11.4100,11.4100,
512,Le Chef Bakery - Cinnamon Bun Pecan Sticky,Bakery,,case,,,12.6900,12.6900,
513,Le Chef Bakery - Cinnamon Bun With Icing,Bakery,,tray,,,9.7300,9.7300,
343,Le Chef Bakery - Croissant Butter All Natural,Bakery,,case,,,15.7400,15.7400,
352,"Le Chef Bakery - Muffin - Lemon, W/Raspberry",Bakery,,case,,,22.1200,22.1200,
353,"Le Chef Bakery - Muffin - Morning Glory, Tulip Cup",Bakery,,case,,,13.3500,13.3500,
354,"Le Chef Bakery - Muffin - Zucchini, Chia, Pumpkin & Sunflower Seeds",Bakery,,case,,,18.1300,18.1300,
356,"Le Chef Bakery Bagel - Jalapeno & Cheddar Cheese, Slcd",Bakery,,case,,,12.6800,12.6800,
358,"Le Chef Bakery Ciabata - Rustic Plain 4"" X 4""",Bakery,,case,,,26.1600,26.1600,
361,Le Chef Bakery Danish - Bear Claws,Bakery,,tray,,,19.7900,19.7900,
365,"Le Chef Bakery Muffin - Banana, W/ Nutella",Bakery,,case,,,22.1300,22.1300,
366,Le Chef Bakery Muffin - Blueberry,Bakery,,tray,,,14.9400,14.9400,
367,"Le Chef Bakery Muffin - Churro, W/ Dulce De Leche",Bakery,,case,,,22.1300,22.1300,
369,Le Chef Bakery Muffin - Orange Cranberry Tulip Cup,Bakery,,tray,,,14.9400,14.9400,
370,Le Chef Bakery Muffin - Original Bran,Bakery,,case,,,14.9400,14.9400,
371,Le Chef Bakery Pound Cake - Lemon,Bakery,,case,,,32.5300,32.5300,
373,Le Chef Bakery Scones - Mixed Berry,Bakery,,tray,,,21.8900,21.8900,
374,Le Chef Bakery Tea Bread - Cinnamon Crumb,Bakery,,piece,,,24.9400,24.9400,
284,Lkp - Cup Sleeves,Cups / Paper / Disposables,,case,,,164.0000,164.0000,
531,Lkp - Die Cut Paper Bag Large ( W29.5Xh40),Cups / Paper / Disposables,,case,,,452.0000,452.0000,
533,Lkp - Die Cut Paper Bag Medium (W.25.5Xh34.5),Cups / Paper / Disposables,,case,,,372.0000,372.0000,
532,Lkp - Die Cut Paper Bag Small (W20*H30),Cups / Paper / Disposables,,cs,,,298.0000,298.0000,
534,Lkp - Dome Lid For Bowl,Cups / Paper / Disposables,,case,,,55.0000,55.0000,
535,"Lkp - Dome Lids For 12, 16 , 20 , 24 Oz",Cups / Paper / Disposables,,case,,,95.0000,95.0000,
536,Lkp - Dome Lids For 32 Oz,Cups / Paper / Disposables,,case,,,129.0000,129.0000,
291,Lkp - Double Wall Cup 12 Oz,Cups / Paper / Disposables,,case,,,106.0000,106.0000,
292,Lkp - Double Wall Cup 8 Oz,Cups / Paper / Disposables,,case,,,152.0000,152.0000,
293,"Lkp - Drinking Lid For 12 ,16 , 20 & 24 Oz (Cold Cups)",Cups / Paper / Disposables,,case,,,105.0000,105.0000,
294,"Lkp - Lids For Paper Cups 12 , 16 , 20 , 24 Oz (Hot Cups)",Cups / Paper / Disposables,,case,,,105.0000,105.0000,
295,Lkp - Pet Plastic Cups 12 Oz,Cups / Paper / Disposables,,case,,,169.0000,169.0000,
296,Lkp - Pet Plastic Cups 24Oz,Cups / Paper / Disposables,,case,,,237.0000,237.0000,
297,Lkp - Pet Plastic Cups 32 Oz,Cups / Paper / Disposables,,case,,,329.0000,329.0000,
298,Lkp - Plastic Straw For Cold Drink 0.6*23Cm,Cups / Paper / Disposables,,Case,,,225.0000,225.0000,
301,Lkp - Single Wall Cup 24 Oz,Cups / Paper / Disposables,,case,,,248.0000,248.0000,
302,Lkp - Single Wall Cup 4 Oz,Cups / Paper / Disposables,,case,,,98.0000,98.0000,
530,Lkp - Two Cup Carrier,Cups / Paper / Disposables,,case,,,200.0000,200.0000,
537,Lkp - Two Cup Carrier,Cups / Paper / Disposables,,case,,,180.0000,180.0000,
538,Lotus - 1 Oz Dispenser Pump,Racks & Accesories,,ea,,,3.0000,3.0000,
539,Lotus - 3 Bottle Rack,Racks & Accesories,,piece,,,29.9900,29.9900,
625,Lotus - Biscoff Creamy Cookie Butter Topping,Ingredients,,Unit,,,17.4900,17.4900,
313,Monin - Caramel Sugar Free Syrup 750 Ml,Syrups - Monin,,bottle,,,6.7500,6.7500,
314,Monin - Caramel Syrup 750 Ml,Syrups - Monin,,bottle,,,6.7500,6.7500,
315,Monin - Cinnamon Syrup 750 Ml,Syrups - Monin,,bottle,,,6.7500,6.7500,
317,Monin - Lavender Syrup - 750 Ml,Syrups - Monin,,bottle,,,6.7500,6.7500,
318,Monin - Pistachio Syrup 750 Ml,Syrups - Monin,,bottle,,,6.7500,6.7500,
319,Monin - Pure Cane Syrup 750 Ml,Syrups - Monin,,bottle,,,6.7500,6.7500,
627,Monin - Syrup (0.25 Oz.) Pump For 750 Ml Bottles,Racks & Accesories,,ea,,,2.4600,2.4600,
628,Monin - Syrup Pump (0.25 Oz.) For 750 Ml Bottles,Racks & Accesories,,ea,,,2.5000,2.5000,
375,Monin (Shamrock) - Caramel Sugar Free Syrup 1 Lt (Pet),Syrups - Monin,,case,,,38.1300,38.1300,
376,Monin (Shamrock) - Cookie Butter Syrup 1 Lt (Pet),Syrups - Monin,,bottle,,,38.5700,38.5700,
377,Monin (Shamrock) - Hazelnut Sugar Free Syrup 1 Lt (Pet),Syrups - Monin,,bottle,,,34.4700,34.4700,
378,Monin (Shamrock) - Lavender Syrup 1 Lt (Pet),Syrups - Monin,,bottle,,,33.8900,33.8900,
379,Monin (Shamrock) - Macadamia Nut Syrup 1 Lt (Pet),Syrups - Monin,,bottle,,,34.0100,34.0100,
380,Monin (Shamrock) - Pistachio Syrup 1 Lt (Pet),Syrups - Monin,,bottle,,,36.5600,36.5600,
381,Monin (Shamrock) - Pure Cane Syrup 1 Lt (Pet),Syrups - Monin,,bottle,,,31.8400,31.8400,
382,Monin (Shamrock) - Strawberry Syrup 1 Lt (Pet),Syrups - Monin,,bottle,,,38.0700,38.0700,
383,Monin (Shamrock) - Toasted Marshmallow Syrup 1 Lt (Pet),Syrups - Monin,,bottle,,,38.0700,38.0700,
386,Monin (Shamrock) - Yuzu Syrup 1 Lt (Pet),Syrups - Monin,,bottle,,,70.6700,70.6700,
629,Nabisco/Oreo - Cookie Crumbs,Ingredients,,Case,,,149.9100,149.9100,
630,Nutella - Spread Chocolate Hazelnut,Waffle,,Case,,,67.2100,67.2100,
561,Pacific - Pistachio Milk Barista - 32 Fl. Oz. - 12/Case,Specialty Milks,,Cs,,,46.6200,46.6200,
413,Pacific - Pistachio Milk Barista Specialty,Specialty Milks,,case,,,47.0000,47.0000,
562,Pacific - Soy Milk Barista - 32 Fl. Oz. - 12/Case,Specialty Milks,,Cs,,,36.9500,36.9500,
414,Pacific - Soy Milk Barista Specialty,Specialty Milks,,case,,,28.0000,28.0000,
633,Pillsbury - Dough Roll Cinnamon Twirl,Bakery,,Case,,,98.6500,98.6500,
390,Poppi Cherry Limeade Prebiotic (12 Oz.),Beverages,,case,,,21.7900,21.7900,
391,Poppi Raspberry Rose Prebiotic (12 Oz.),Beverages,,case,,,21.7900,21.7900,
392,Poppi Strawberry Lemon Prebiotic,Beverages,,case,,,21.7900,21.7900,
323,Pregel - Butter Pecan X 12,Gelato,,case,,,174.7800,174.7800,
324,Pregel - Mango Sprint X 12,Gelato,,case,,,216.5500,216.5500,
325,Pregel - Pistachio Paste (Bucket),Gelato,,case,,,628.2600,628.2600,
415,Pressed - Daily Greens Juice,Beverages,,case,,,28.9100,28.9100,
416,Pressed - Daily Roots + Ginger Juice,Beverages,,case,,,27.6000,27.6000,
