scope_type,scope_code,ingredient_name,manufacturer_name,distributor_name,priority,valid_from,assigned_by,change_reason,notes
store,2-LB-CA,Vanilla Eclair,Bindi,,1,2026-03-28,etl_migration_2026,initial_load,
store,15-OP-IL,Pinsa Margherita,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Dulce de Leche Cheesecake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Pistachio Cheesecake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Red Velvet Cake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Tiramisu,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Chocolate Ganache Cheesecake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Chocolate Fondant Cake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,All Butter Croissant,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Chocolate Croissant,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Macarons French,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,All Butter Curved Mini Croissant,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Lemon Blueberry Crumb Cheesecake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Cappuccino Cake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Strawberry Cheesecake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,15-OP-IL,Chocolate Temptation Cake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,13-BL-IL,Chocolate Temptation Cake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,13-BL-IL,Pinsa Margherita,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,13-BL-IL,Dulce de Leche Cheesecake,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,13-BL-IL,Macarons French,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,14-SC-IL,Pistachio Cheesecake,Bindi,Greco & Sons,1,2026-01-28,etl_migration_2026,initial_load,
store,14-SC-IL,Red Velvet Cake,Bindi,Greco & Sons,1,2026-01-28,etl_migration_2026,initial_load,
store,14-SC-IL,Pinsa Margherita,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,10-BL-IL,Pinsa Margherita,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,10-BL-IL,Macarons French,Bindi,Greco & Sons,1,2026-03-31,etl_migration_2026,initial_load,
store,12-DB-MI,Cheese Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,12-DB-MI,Cinnamon Roll,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,12-DB-MI,Maple Pecan Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
