ingredient_name,manufacturer_name,distributor_name,recipe_unit,purchase_qty,recipe_qty,notes
Brewed Tea,,,oz,1,29.57,fl oz → ml
Club Soda,,,oz,1,29.57,fl oz → ml
Coconut Milk,,,oz,1,29.57,fl oz → ml
Coconut Syrup,,,oz,1,29.57,fl oz → ml
Cold Foam Coconut,,,oz,1,29.57,fl oz → ml
Milk,,,oz,1,29.57,fl oz → ml
Water,,,oz,1,29.57,fl oz → ml
Batter,,,oz,1,28.35,oz → g
Cappuccino Foam,,,oz,1,28.35,oz → g
Chocolate Gelato,,,oz,1,0.3333,oz → g
Gelato,,,oz,1,28.35,oz → g
Ice Cubes,,,oz,1,28.35,oz → g
Vanilla Gelato,,,oz,1,0.3333,oz → g
Blue Raspberry Fruit Fusion,,,pump,1,28.0,Lotus pump = 28g
Cream Base,,,pump,1,28.0,Lotus pump = 28g
Mango Passion Fruit Fusion,,,pump,1,28.0,Lotus pump = 28g
Orange Creamsicle Fruit Fusion,,,pump,1,28.0,Lotus pump = 28g
Pina Colada Fruit Fusion,,,pump,1,28.0,Lotus pump = 28g
Strawberry Fruit Fusion,,,pump,1,28.0,Lotus pump = 28g
Watermelon Fruit Fusion,,,pump,1,28.0,Lotus pump = 28g
White Lotus,,,pump,1,28.0,Lotus pump = 28g
Chocolate Sauce,,,pump,1,14.0,Sauce pump = 14g
Sauce,,,pump,1,14.0,Sauce pump = 14g
Coconut Syrup,,,pump,1,7.0,Monin pump = 7g
Dragon Fruit Syrup,,,pump,1,7.0,Monin pump = 7g
Hazelnut Syrup,,,pump,1,7.0,Monin pump = 7g
Rose Syrup,,,pump,1,7.0,Monin pump = 7g
Syrup,,,pump,1,7.0,Monin pump = 7g
Coconut Syrup,,,pump,1,7.0,Monin pump = 7g
Vanilla Syrup,,,pump,1,7.0,Monin pump = 7g
Chai Tea Concentrate,,,pump,1,7.0,Chai pump = 7g
Strawberry Fruit Puree,,,pump,1,7.0,Puree pump = 7g
Cooking Spray,,,pump,1,1.0,1-sec aerosol spray; 482g can ÷ ~500 sprays ≈ 1g
Vanilla Powder,,,scoop,1,14.0,Vanilla Powder Scoop = 14g (DB)
Chocolate Powder,,,scoop,1,12.0,Chocolate Powder Scoop = 12g (DB)
Taro Powder,,,scoop,1,14.0,Taro Scoop = 14g (DB)
Greek Yogurt,,,scoop,1,28.0,Greek Yogurt Scoop = 28g (DB)
Tapioca Pearls,,,scoop,1,42.0,Tapioca Pearls Scoop = 42g (DB)
Whey Protein,,,scoop,1,14.0,Protein Scoop = 14g (DB)
Honey Oat Granola,,,scoop,1,28.0,Topping scoop ~60ml × 0.45g/ml = 28g (Fermi)
Crushed Oreo,,,scoop,1,14.0,Topping scoop ~30ml × 0.5g/ml = 14g (Fermi)
Cheese Cheddar Sliced,,,slice,1,17.0,Cheese slice = 17g (DB)
Cheese Mozzarella Sliced,,,slice,1,17.0,Cheese slice = 17g (DB)
Mozzarella,,,slice,1,17.0,Cheese slice = 17g (DB)
Sliced Pickles,,,slice,1,5.0,Pickles slice: 28g/6 = 4.67g ≈ 5g (DB)
