ingredient_name,manufacturer_name,distributor_name,is_direct,is_active
Pistachio Cheesecake,Bindi,IGF,false,true
Red Velvet Cake,Bindi,,true,true
Red Velvet Cake,Bindi,French Bakery,false,true
Red Velvet Cake,Bindi,Greco & Sons,false,true
Red Velvet Cake,Bindi,Pointe Dairy,false,true
Red Velvet Cake,Bindi,Primizie,false,true
Red Velvet Cake,Bindi,IGF,false,true
Chocolate Eclair,Bindi,Food Related,false,true
Chocolate Eclair,Bindi,French Bakery,false,true
Chocolate Eclair,Bindi,Greco & Sons,false,true
Chocolate Eclair,Bindi,Primizie,false,true
Chocolate Eclair,Bindi,IGF,false,true
Chocolate Eclair,Bindi,,true,true
Vanilla Eclair,Bindi,Food Related,false,true
Vanilla Eclair,Bindi,French Bakery,false,true
Vanilla Eclair,Bindi,Greco & Sons,false,true
Vanilla Eclair,Bindi,Primizie,false,true
Vanilla Eclair,Bindi,,true,true
Macarons French,Bindi,Food Related,false,true
Macarons French,Bindi,French Bakery,false,true
Macarons French,Bindi,Greco & Sons,false,true
Macarons French,Bindi,Primizie,false,true
Muffin Classico,Bindi,Greco & Sons,false,true
Focaccia,Bindi,Greco & Sons,false,true
All Butter Curved Mini Croissant,Bindi,,true,true
Pinsa Margherita,Bindi,Greco & Sons,false,true
Chocolate Ganache Cheesecake,Bindi,Greco & Sons,false,true
Chocolate Fondant Cake,Bindi,Greco & Sons,false,true
All Butter Curved Mini Croissant,Bindi,Greco & Sons,false,true
Lemon Blueberry Crumb Cheesecake,Bindi,Greco & Sons,false,true
Cappuccino Cake,Bindi,Greco & Sons,false,true
Leek and Parmesan Danish,Bridor,Greco & Sons,false,true
Cinnamon Roll,Bridor,Greco & Sons,false,true
Blueberry Cheesecake Danish,Bridor,Greco & Sons,false,true
Cherry Greek Yogurt Danish,Bridor,Greco & Sons,false,true
Lemon Danish,Bridor,Greco & Sons,false,true
Maple Pecan Danish,Bridor,Greco & Sons,false,true
Cheese Danish,Bridor,Greco & Sons,false,true
Focaccia,Bridor,Greco & Sons,false,true
Cheese Danish,Bridor,Pointe Dairy,false,true
Cinnamon Roll,Bridor,Pointe Dairy,false,true
Maple Pecan Danish,Bridor,Pointe Dairy,false,true
Focaccia,Bridor,Pointe Dairy,false,true
Strawberry Danish,Bridor,Pointe Dairy,false,true
Leek and Parmesan Danish,Bridor,Pointe Dairy,false,true
Cherry Greek Yogurt Danish,Bridor,Pointe Dairy,false,true
Raspberry Cream Cheese Danish,Bridor,Pointe Dairy,false,true
Focaccia,Bridor,Food Related,false,true
Cherry Greek Yogurt Danish,Bridor,Food Related,false,true
Maple Pecan Danish,Bridor,Food Related,false,true
Strawberry Danish,Bridor,Food Related,false,true
Focaccia,Bridor,TCW,false,true
Lemon Danish,Bridor,TCW,false,true
Strawberry Danish,Bridor,TCW,false,true
Leek and Parmesan Danish,Bridor,TCW,false,true
All Butter Curved Croissant,Bridor,TCW,false,true
Focaccia,Bridor,French Bakery,false,true
Strawberry Danish,Bridor,French Bakery,false,true
Cheese Danish,Bridor,French Bakery,false,true
Lemon Danish,Bridor,French Bakery,false,true
Chocolate Croissant,Bridor,French Bakery,false,true
Chocolate Sprint,PreGel,,false,true
Vanilla Syrup,PreGel,,false,true
White Base Sprint,PreGel,,false,true
Strawberry Sprint,PreGel,,false,true
Cinnamon Roll,Golden Waffles,,false,true
