ingredient_name,manufacturer_name,distributor_name,list_price,qargo_price,currency_code,price_unit,valid_from,source,created_by
Brownie Cheesecake,Bindi,Pointe Dairy,53.4,53.4,USD,per case,2026-05-19,bindi_products_db_2026,etl_migration_2026
Red Velvet Cake,Bindi,Food Related,37.42,37.42,USD,per case,2026-06-10,bindi_products_db_2026,etl_migration_2026
Avocado Cheesecake,Bindi,Food Related,39.95,33.75,USD,per case,2026-05-22,bindi_products_db_2026,etl_migration_2026
Lemon Blueberry Crumb Cheesecake,Bindi,Pointe Dairy,41.38,41.38,USD,per case,2026-05-23,bindi_products_db_2026,etl_migration_2026
Dulce de Leche Cheesecake,Bindi,Food Related,39.38,39.38,USD,per case,2026-05-24,bindi_products_db_2026,etl_migration_2026
Dulce de Leche Cheesecake,Bindi,French Bakery,40.95,40.95,USD,per case,2026-05-25,bindi_products_db_2026,etl_migration_2026
Dulce de Leche Cheesecake,Bindi,Greco & Sons,39.99,39.99,USD,per case,2026-05-26,bindi_products_db_2026,etl_migration_2026
Dulce de Leche Cheesecake,Bindi,Primizie,41.38,41.38,USD,per case,2026-05-27,bindi_products_db_2026,etl_migration_2026
Tres Leches Cake,Bindi,Pointe Dairy,33.34,33.34,USD,per case,2026-05-31,bindi_products_db_2026,etl_migration_2026
Pistachio Cheesecake,Bindi,,42.16,42.16,USD,per case,2026-06-01,bindi_products_db_2026,etl_migration_2026
Pistachio Cheesecake,Bindi,Food Related,40.12,40.12,USD,per case,2026-06-02,bindi_products_db_2026,etl_migration_2026
Pistachio Cheesecake,Bindi,Greco & Sons,40.99,40.99,USD,per case,2026-06-04,bindi_products_db_2026,etl_migration_2026
Pistachio Cheesecake,Bindi,Primizie,42.16,42.16,USD,per case,2026-06-05,bindi_products_db_2026,etl_migration_2026
Pistachio Cheesecake,Bindi,IGF,42.16,42.16,USD,per case,2026-06-07,bindi_products_db_2026,etl_migration_2026
Red Velvet Cake,Bindi,,39.32,39.32,USD,per case,2026-06-09,bindi_products_db_2026,etl_migration_2026
Red Velvet Cake,Bindi,French Bakery,39.0,39.0,USD,per case,2026-06-11,bindi_products_db_2026,etl_migration_2026
Red Velvet Cake,Bindi,Greco & Sons,37.99,37.99,USD,per case,2026-06-12,bindi_products_db_2026,etl_migration_2026
Red Velvet Cake,Bindi,Pointe Dairy,39.32,39.32,USD,per case,2026-06-13,bindi_products_db_2026,etl_migration_2026
Red Velvet Cake,Bindi,Primizie,35.55,35.55,USD,per case,2026-06-14,bindi_products_db_2026,etl_migration_2026
Red Velvet Cake,Bindi,IGF,39.32,39.32,USD,per case,2026-06-16,bindi_products_db_2026,etl_migration_2026
Chocolate Eclair,Bindi,Food Related,25.11,25.11,USD,per case,2026-06-18,bindi_products_db_2026,etl_migration_2026
Chocolate Eclair,Bindi,French Bakery,39.2,28.49,USD,per case,2026-06-19,bindi_products_db_2026,etl_migration_2026
Chocolate Eclair,Bindi,Greco & Sons,29.99,28.49,USD,per case,2026-06-20,bindi_products_db_2026,etl_migration_2026
Chocolate Eclair,Bindi,Primizie,28.49,28.49,USD,per case,2026-06-21,bindi_products_db_2026,etl_migration_2026
Chocolate Eclair,Bindi,IGF,28.49,28.49,USD,per case,2026-06-22,bindi_products_db_2026,etl_migration_2026
Chocolate Eclair,Bindi,,28.49,28.49,USD,per case,2026-06-25,bindi_products_db_2026,etl_migration_2026
Vanilla Eclair,Bindi,Food Related,25.11,25.11,USD,per case,2026-06-26,bindi_products_db_2026,etl_migration_2026
Vanilla Eclair,Bindi,French Bakery,39.2,28.49,USD,per case,2026-06-27,bindi_products_db_2026,etl_migration_2026
Vanilla Eclair,Bindi,Greco & Sons,29.49,28.49,USD,per case,2026-06-28,bindi_products_db_2026,etl_migration_2026
Vanilla Eclair,Bindi,Primizie,28.49,28.49,USD,per case,2026-06-29,bindi_products_db_2026,etl_migration_2026
Vanilla Eclair,Bindi,,28.49,28.49,USD,per case,2026-07-02,bindi_products_db_2026,etl_migration_2026
Macarons French,Bindi,Food Related,153.5,153.5,USD,per case,2026-07-07,bindi_products_db_2026,etl_migration_2026
Macarons French,Bindi,French Bakery,157.5,157.5,USD,per case,2026-07-08,bindi_products_db_2026,etl_migration_2026
Macarons French,Bindi,Greco & Sons,136.99,136.99,USD,per case,2026-07-09,bindi_products_db_2026,etl_migration_2026
Macarons French,Bindi,Primizie,161.27,161.27,USD,per case,2026-07-10,bindi_products_db_2026,etl_migration_2026
Muffin Classico,Bindi,Greco & Sons,32.99,32.99,USD,per case,2026-07-12,bindi_products_db_2026,etl_migration_2026
Focaccia,Bindi,Greco & Sons,44.99,44.99,USD,per case,2026-07-16,bindi_products_db_2026,etl_migration_2026
All Butter Curved Mini Croissant,Bindi,,77.59,77.59,USD,per case,2026-07-17,bindi_products_db_2026,etl_migration_2026
Pinsa Margherita,Bindi,Greco & Sons,60.6,60.6,USD,per case,2026-04-13,bindi_products_db_2026,etl_migration_2026
Chocolate Ganache Cheesecake,Bindi,Greco & Sons,39.99,39.99,USD,per case,2026-04-14,bindi_products_db_2026,etl_migration_2026
Chocolate Fondant Cake,Bindi,Greco & Sons,45.99,45.99,USD,per case,2026-04-17,bindi_products_db_2026,etl_migration_2026
All Butter Curved Mini Croissant,Bindi,Greco & Sons,77.59,77.59,USD,per case,2026-04-16,bindi_products_db_2026,etl_migration_2026
Lemon Blueberry Crumb Cheesecake,Bindi,Greco & Sons,39.99,39.99,USD,per case,2026-04-18,bindi_products_db_2026,etl_migration_2026
Cappuccino Cake,Bindi,Greco & Sons,40.99,40.99,USD,per case,2026-04-19,bindi_products_db_2026,etl_migration_2026
Leek and Parmesan Danish,Bridor,Greco & Sons,68.99,68.99,USD,per case,2025-10-01,bridor_q4_2025,etl_migration_2026
Cinnamon Roll,Bridor,Greco & Sons,48.99,48.99,USD,per case,2025-10-01,bridor_q4_2025,etl_migration_2026
Blueberry Cheesecake Danish,Bridor,Greco & Sons,101.99,101.99,USD,per case,2025-10-01,bridor_q4_2025,etl_migration_2026
Cherry Greek Yogurt Danish,Bridor,Greco & Sons,79.99,79.99,USD,per case,2025-10-01,bridor_q4_2025,etl_migration_2026
Lemon Danish,Bridor,Greco & Sons,90.99,90.99,USD,per case,2025-10-01,bridor_q4_2025,etl_migration_2026
Maple Pecan Danish,Bridor,Greco & Sons,59.99,59.99,USD,per case,2025-10-01,bridor_q4_2025,etl_migration_2026
Cheese Danish,Bridor,Greco & Sons,85.99,85.99,USD,per case,2025-10-01,bridor_q4_2025,etl_migration_2026
Focaccia,Bridor,Greco & Sons,59.99,59.99,USD,per case,2025-10-01,bridor_q4_2025,etl_migration_2026
Chocolate Sprint,PreGel,,204.155,204.155,USD,per case,2026-01-01,pregel_2026,etl_migration_2026
Vanilla Syrup,PreGel,,222.965,222.965,USD,per case,2026-01-02,pregel_2026,etl_migration_2026
White Base Sprint,PreGel,,180.405,180.405,USD,per case,2026-01-04,pregel_2026,etl_migration_2026
Strawberry Sprint,PreGel,,203.91,203.91,USD,per case,2026-01-06,pregel_2026,etl_migration_2026
Cinnamon Roll,Golden Waffles,,5.0,5.0,USD,per case,2026-01-09,golden_waffles_2026,etl_migration_2026
